rnos_hmi	rnos_gob_cordoba	nom_os_hmi	nom_os_gob_cordoba
11420	114208	O.S. IND. DE PASTAS ALIMENTICIAS                  	OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS
11430	114307	O.S.PASTELEROS,CONFITEROS,PIZZEROS,ALFAJ. CAP.FED.	OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, 
11440	114406	O.S. DE PASTELEROS, CONFITEROS, PIZZEROS DE SANTIA	OBRA SOCIAL DE PASTELEROS
11450	114505	O.S. PATRONES DE CABOTAJE DE RIOS Y PUERTOS       	OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUER
11460	114604	O.S. DE PELETEROS.                                	OBRA SOCIAL DE PELETEROS
11470	114703	O.S.PERS. DE PELUQUERIA, ESTETICAS Y AFINES       	OBRA SOCIAL DEL PERSONAL DE PELUQUERIAS, ESTETICAS
11480	114802	O.S. OFICIALES PELUQUEROS Y PEINADORES.           	OBRA SOCIAL DE OFICIALES PELUQUEROS Y PEINADORES
11490	114901	O.S. OFICIALES PELUQUEROS Y PEINADORES DE ROSARIO 	OBRA SOCIAL DE OFICIALES PELUQUEROS Y PEINADORES D
11500	115003	O.S.PERS. DE LA ACTIVIDAD PERFUMISTA              	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMIST
11510	115102	O.S. TRAB. DE PRENSA DE BUENOS AIRES              	OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AI
11520	115201	O.S.PERS. IND. DEL PESCADO DE MAR DEL PLATA       	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PESCA
11530	115300	O.S. PETROLEROS                                   	OBRA SOCIAL DE PETROLEROS
11540	115409	O.S.PETROLEO Y GAS PRIVADO                        	OBRA SOCIAL DEL PETROLEO Y GAS PRIVADO
11550	115508	O.S. PETROLEROS DE CORDOBA                        	OBRA SOCIAL DE PETROLEROS DE CORDOBA
11560	115607	O.S.PERS. IND. PETROQUIMICA                       	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA PETROQUIM
11570	115706	O.S. PILOTOS DE LINEAS AEREAS COMERC.Y REGULARES  	OBRA SOCIAL PARA PILOTOS DE LINEAS AEREAS COMERCIA
11580	115805	O.S.PERS. DE FABRICAS DE PINTURA                  	OBRA SOCIAL DEL PERSONAL DE FABRICAS DE PINTURA
11590	115904	O.S. PROF. DE ACADEMIAS P.                        	OBRA SOCIAL DEL PERS. DE ACADEMIA PITMAN
11600	116006	O.S.PERS. IND. DEL PLASTICO                       	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PLAST
11610	116105	O.S. CAPATACES Y ESTIBADORES PORTUARIOS           	OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS
11620	116204	O.S. PORTUARIOS ARGENTINOS                        	OBRA SOCIAL DE PORTUARIOS ARGENTINOS
11630	116303	O.S. PORTUARIOS DE BAHIA BLANCA                   	OBRA SOCIAL PORTUARIOS DE BAHIA BLANCA
11640	116402	O.S. PORTUARIOS DE NECOCHEA Y QUEQUEN             	OBRA SOCIAL PORTUARIOS DE NECOCHEA Y QUEQUEN
11650	116501	O.S. PORTUARIOS DE ROSARIO.                       	OBRA SOCIAL PORTUARIOS DE ROSARIO
11660	116600	O.S. PORTUARIOS DE SAN LORENZO.                   	OBRA SOCIAL PORTUARIOS DE SAN LORENZO
11670	116709	O.S. PORTUARIOS DE PUERTO SAN MARTIN Y BELLA VISTA	OBRA SOCIAL PORTUARIOS DE PUERTO SAN MARTIN Y BELL
11680	116808	O.S. PORTUARIOS PUERTO SAN NICOLAS.               	OBRA SOCIAL PORTUARIOS DE SAN NICOLAS
11690	116907	O.S. PORTUARIOS DE SAN PEDRO.                     	OBRA SOCIAL PORTUARIOS DE SAN PEDRO
11700	117009	O.S. PORTUARIOS DE SANTA FE.                      	OBRA SOCIAL PORTUARIOS DE SANTA FE
11710	117108	O.S. PORTUARIOS DE VILLA CONSTITUCION.            	OBRA SOCIAL PORTUARIOS DE VILLA CONSTITUCION
11720	117207	O.S.PERS. DE PRENSA DE LA REPUBLICA ARGENTINA     	OBRA SOCIAL DEL PERSONAL DE PRENSA DE LA REPUBLICA
11730	117306	O.S. DEL PERS. DE PRENSA CAPITAL FEDERAL.         	OBRA SOCIAL DEL PERS. DE PRENSA DE CAPITAL FEDERAL
11740	117405	O.S.PERS. DE PRENSA DE BAHIA BLANCA               	OBRA SOCIAL DEL PERSONAL DE PRENSA DE BAHIA BLANCA
11750	117504	O.S. DEL PERS. DE PRENSA DE CORDOBA.              	OBRA SOCIAL DEL PERS. DE PRENSA DE CORDOBA
11760	117603	O.S.PERS. DE PRENSA DE LA PCIA. DE CHACO          	OBRA SOCIAL DEL PERSONAL DE PRENSA DE LA PROVINCIA
11770	117702	O.S.PERS. DE PRENSA DE MAR DEL PLATA              	OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLAT
11780	117801	O.S.PERS. DE PRENSA DE MENDOZA                    	OBRA SOCIAL DEL PERSONAL DE PRENSA DE MENDOZA
11790	117900	O.S. DEL PERS. DE PRENSA DE SANTIAGO DEL ESTERO.  	OBRA SOCIAL DEL PERS. DE PRENSA DE SANTIAGO DEL ES
11800	118002	O.S. EMPL. DE PRENSA DE CORDOBA                   	OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA
11810	118101	O.S. PROFES.DE O.S. PERS. PAPEL CARTON Y QUIMICOS 	OBRA SOCIAL DE PROFESIONALES DE LA O.S. DEL PERS. 
11820	118200	O.S. AG.PROP.MEDICA DE LA REPUBLICA ARGENTINA     	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA 
11830	118309	O.S. AG.PROP.MEDICA DE CORDOBA                    	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE COR
11840	118408	O.S. AG.PROP.MEDICA DE ENTRE RIOS                 	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ENT
11850	118507	O.S. AG.PROP.MEDICA DE ROSARIO                    	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ROS
11860	118606	O.S.PERS. DE LA PUBLICIDAD                        	OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD
11870	118705	O.S.PERS. IND.S QUIMICAS Y PETROQUIMICAS          	OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y 
11880	118804	O.S. RECIBIDORES DE GRANOS Y ANEXOS               	OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS
11890	118903	O.S.PERS. DE RECOLECCION Y BARRIDO DE ROSARIO     	OBRA SOCIAL DEL PERSONAL DE RECOLECCION Y BARRIDO 
11900	119005	O.S.PERS. DE REFINERIAS DE MAIZ                   	OBRA SOCIAL DEL PERSONAL DE REFINERIAS DE MAIZ
11910	119104	O.S. IND. DE MATERIALES REFRACTARIOS Y AFINES     	OBRA SOCIAL DE LA INDUSTRIA DE MATERIALES REFRACTA
11920	119203	O.S. RELOJEROS Y JOYEROS                          	OBRA SOCIAL DE RELOJEROS Y JOYEROS
11930	119302	O.S.PERS. RURAL Y ESTIBADORES DE REP.ARGENTINA    	OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA
11940	119401	O.S. DEL PERS. DE LA INDUSTRIA SALINERA.          	OBRA SOCIAL DEL PERS. DE LA INDUSTRIA SALINERA
11950	119500	O.S.PERS. DE LA SANIDAD                           	OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA
11960	119609	O.S.PERS. DE INSTALACIONES SANITARIAS             	OBRA SOCIAL DEL PERSONAL DE INSTALACIONES SANITARI
11970	119708	O.S.PERS.SEG.COMERCIAL,IND.INVESTIGACIONES PRIV.  	OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, I
11980	119807	O.S. DEL PERS. DEL SEGURO.                        	OBRA SOCIAL DEL PERS. DEL SEGURO
11990	119906	O.S. SERENOS DE BUQUES                            	OBRA SOCIAL DE SERENOS DE BUQUES
12000	120009	O.S. DEL PERS. DEL SURCO DE VILLA QUINTEROS.      	OBRA SOCIAL DEL PERS. DEL SURCO DE VILLA QUINTEROS
12010	120108	O.S.PERS. INFORM.Y TELEC.S.A. Y CIMET S.A.(S.ISID.	OBRA SOCIAL DE TECNICOS
12020	120207	O.S.PERS. DE STANDARD ELECTRIC                    	OBRA SOCIAL DEL PERS. DE STANDARD ELECTRIC
12030	120306	O.S.PERS. SUPERVISION DE EMP.SUBTERRANEOS BS.AS.  	OBRA SOCIAL DEL PERSONAL DE SUPERVISION DE LA EMPR
12040	120405	O.S.PERS. DE DIR.DE EMP. SUBTERRANEOS DE BS.AIRES 	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA EMPRES
12050	120504	O.S.PERS. IND.             DEL TABACO             	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABA
12060	120603	O.S. EMPL. DEL TABACO                             	OBRA SOCIAL DE EMPLEADOS DEL TABACO
12070	120702	O.S.PERS. TELEFONICO DE LA REPUBLICA ARGENTINA    	OBRA SOCIAL DEL PERSONAL DE LAS TELECOMUNICACIONES
12080	120801	O.S. TELEGRAFISTAS Y RADIOTELEGRAFISTAS           	OBRA SOCIAL DE TRABAJADORES DE LAS COMUNICACIONES
12090	120900	O.S.PERS. DE TELEVISION                           	OBRA SOCIAL DEL PERSONAL DE TELEVISION
12100	121002	O.S.PERS. IND. TEXTIL                             	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL
12110	121101	O.S. EMPL. TEXTILES Y AFINES                      	OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES
12120	121200	O.S. TINTOREROS SOMBREREROS Y LAVANDEROS          	OBRA SOCIAL DE TINTOREROS SOMBREREROS Y LA VADEROS
12130	121309	O.S.PERS. IND. DEL TRACTOR                        	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TRACT
12140	121408	O.S.TRANSPORTE AUTOMOTOR DE ROSARIO               	OBRA SOCIAL DEL TRANSPORTE AUTOMOTOR DE ROSARIO
12150	121507	O.S. IND. DEL TRANSPORTE AUTOMOTOR DE CORDOBA     	OBRA SOCIAL DE LA INDUSTRIA DEL TRANSPORTE  AUTOMO
12160	121606	O.S. COND. DE TRANSPORTE COLECTIVO DE PASAJEROS   	OBRA SOCIAL DE CONDUCTORES DE TRANSPORTE COLECTIVO
12170	121705	O.S.PERS. DE LA ACTIVIDAD DEL TURF                	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF
12180	121804	O.S. COND. DE TAXIS DE CORDOBA                    	OBRA SOCIAL CONDUCTORES DE TAXIS DE CORDOBA
12190	121903	O.S. VAREADORES                                   	OBRA SOCIAL DE VAREADORES
12200	122005	O.S. PARA EL PERS. IND. DEL VESTIDO Y AFINES      	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTI
12210	122104	O.S. VIAJANTES                                    	OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLIC
12220	122203	O.S. VIAJANTES DE COMERCIO                        	OBRA SOCIAL DE VIAJANTES DE COMERCIO
12230	122302	O.S.PERS. DE LA ACTIVIDAD VIAL                    	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VIAL
12240	122401	O.S. EMPL. IND. DEL VIDRIO                        	OBRA SOCIAL DE  EMPLEADOS DE LA INDUSTRIA DEL VIDR
12250	122500	O.S.PERS. IND. DEL VIDRIO                         	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRI
12260	122609	O.S.PERS. DE LA ACTVIDAD VITIVINICOLA             	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VITIVINIC
12270	122708	O.S.PERS. DE VIALIDAD NAC.                        	OBRA SOCIAL DEL PERS. DE VIALIDAD NACIONAL
12280	122807	O.S.PERS.VIGILANCIA Y SEG.COMERCIAL,INV.PRIV. CBA.	OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD
12290	122906	O.S.P. EST.DE SERV., GAR., PLAYA Y LAV. DE STA.FE 	OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO
12300	123008	O.S.P. EST.DE SERV., GAR., PLAYA, LAV.Y GOM. R.A. 	OBRA SOCIAL PARA EL PERSONAL DE ESTACIONES DE SERV
12310	123107	O.S. TALLERISTAS A DOMICILIO                      	OBRA SOCIAL DE TALLERISTAS A DOMICILIO
12320	123206	O.S. BA#EROS Y AFINES DEL PARTIDO GRAL PUEYRREDON 	OBRA SOCIAL DE BAÑEROS Y AFINES DEL PARTIDO GENERA
12330	123305	O.S.PERS. DE SOCIEDADES DE AUTORES AFINES         	OBRA SOCIAL DEL PERSONAL DE SOCIEDADES DE AUTORES 
12340	123404	O.S.PERS. DE PRENSA DE ROSARIO                    	OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO
12350	123503	O.S.PERS. DE PRENSA DE TUCUMAN                    	OBRA SOCIAL DEL PERSONAL DE PRENSA DE TUCUMAN
12360	123602	O.S. TRAB. DE PERKINS ARGENTINA S.A.C.I.          	OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S
12370	123701	O.S. PEONES DE TAXIS DE LA CAP.FED.               	OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDER
12380	123800	O.S.PERS. DE GUARDAVIDAS Y AFINES DE LA REP. ARG. 	OBRA SOCIAL DEL PERS. DE GUARDAVIDAS Y AFINES DE L
12390	123909	O.S. VENDEDORES AMBULANTES DE LA REP.ARGENTINA    	OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLI
12400	124001	O.S. BOXEADORES AGREMIADOS DE LA REP.ARGENTINA    	OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLI
12440	124407	O.S.PERS.EMP.LIMPIEZA,SERV. Y MAESTRANZA MENDOZA  	OBRA SOCIAL PARA EL  PERS. DE EMPRESAS DE  LIMPIEZ
12450	124506	O.S. TRAB. IND. DEL GAS                           	OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GA
12480	124803	O.S. ARBITROS DE FUTBOL                           	OBRA SOCIAL DE ARBITROS DE LA ASOC. DEL FUTBOL ARG
12490	124902	O.S. LA FED. NAC. DE SINDICATOS DE COND. DE TAXI  	OBRA SOCIAL DE LA FEDERACION NACIONAL DE SINDICATO
12500	125004	O.S. DE YACIMIENTOS CARBONIFEROS                  	OBRA SOCIAL DE YACIMIENTOS CARBONIFEROS
12510	125103	O.S. PROFES. UNIV.DEL AGUA Y ENERGIA ELECTRICA    	OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DE
12530	125301	O.S. FEDERAL DE LA FED. NAC. DE OBRAS SANITARIAS  	OBRA SOCIAL FEDERAL DE LA FEDERACION NACIONAL DE T
12550	125509	FED. ARGENTINA DE TRAB. DE LAS UNIV. NAC.ES       	OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJA
12560	125608	O.S.PERS. SUPERIOR IND. DEL GAS Y AFINES          	OBRA SOCIAL PERS. SUPERIOR DE LA INDUSTRIA DEL GAS
12570	125707	O.S.PERS. CIVIL DE LA NACION                      	OBRA SOCIAL UNION PERSONAL DE LA UNION DEL  PERSON
12580	125806	O.S.PERS. JERARQUICO DE AGUA Y LA ENERGIA         	OBRA SOCIAL DEL PERS. JERARQUICO DEL AGUA Y LA ENE
12590	125905	O.S. ARBITROS DEPORTIVOS DE LA REP. ARGENTINA     	OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA
12600	126007	O.S. FED. GREMIAL IND. DE LA CARNE Y DERIVADOS    	OBRA SOCIAL DE LA FEDERACION GREMIAL DE LA INDUSTR
12610	126106	O.S. PARA LOS TRAB. DE LA EDUCACION PRIVADA       	OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION 
12620	126205	O.S. LOS EMPL. DE COMERCIO Y ACTIVIDADES CIVILES  	OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID
12630	126304	O.S. BANCARIA ARGENTINA                           	OBRA SOCIAL BANCARIA ARGENTINA
20010	200103	O.S. DE LA SECRETARIA DE AGRICULTURA Y GANADERIA. 	OBRA SOCIAL DE LA SECRETARIA DE AGRICULTURA
20020	200202	O.S. CENTRO REGIONAL DE AGUAS SUBTERRANEAS.       	OBRA SOCIAL CENTRO REGIONAL DE AGUAS SUBTERRANEAS
20030	200301	O.S. DE LA SECRETARIA COMERCIO Y DE LA SECRETARIA 	OBRA SOCIAL DE LAS SECRETARIAS DE INDUSTRIA Y COME
20040	200400	O.S. EMP.NAC.CORREOS Y TELEG.Y DE COMUNIC.R.ARG.  	OBRA SOCIAL DEL PERSONAL DE LA EMPRESA NACIONAL DE
20050	200509	O.S. DEL MINISTERIO DE DEFENSA.                   	OBRA SOCIAL DEL MINISTERIO DE DEFENSA
20060	200608	O.S. FLOTA FLUVIAL DEL ESTADO                     	OBRA SOCIAL FLOTA FLUVIAL DEL ESTADO ARGENTINO
20070	200707	O.S. GAS DEL ESTADO                               	OBRA SOCIAL GAS DEL ESTADO
20080	200806	DIR. GRAL. O.S. MINISTERIO DEL                    	DIR. GENERAL DE OBRAS COCIALES DEL MINISTERIO DEL
20090	200905	SERVICIOS DE BENEFICIOS SOCIALES DEL MINISTERIO DE	OBRA SOCIAL DEL MINISTERIO DE JUSTICIA
20100	201007	O.S. EMP. LINEAS MARIT. ARG.                      	OBRA SOCIAL EMPRESAS LINEAS MARITIMAS ARGENTINAS
20110	201106	DIR. GRAL. O.S. MIN. REL EXT.                     	DIR. GENERAL DE O.S. DEL MINIST. DE RELACIONES EXT
20120	201205	O.S. DEL MINISTERIOS DE OBRAS Y SERVICIOS PUBLICOS	OBRA SOCIAL DEL MINISTERIO DE OBRAS Y SERVICIOS PU
20130	201304	DIR. O. S. EMP. NAC TELEC.                        	DIR. DE O.S. DE LA EMPRESA NACIONAL DE TELECOMUNIC
20140	201403	O.S. UNIV. DE BUENOS AIRES                        	OBRA SOCIAL DE LA UNIVERSIDAD DE BUENOS AIRES
20150	201502	O.S. DIR. NAC. DE VIALIDAD                        	OBRA SOCIAL DIRECCION NACIONAL DE VIALIDAD
20160	201601	O.S. INST. NAC. DE VITIVINICULTURA.               	OBRA SOCIAL INST. NACIONAL DE VITIVINICULTURA
20170	201700	O.S. YACIMIENTOS CARBONIFICOS FISCALES.           	OBRA SOCIAL YACIMIENTOS CARBONIFEROS FISCALES
20180	201809	O.S. YACIMIENTOS PETROLIFEROS FISCALES            	OBRA SOCIAL YACIMIENTOS PETROLEROS FISCALES
20190	201908	INS. N. O.S. PER. AD. PUB. NAC. ENTE              	INST. NAC. DE O.S. PARA EL PERS. DE LA ADMINIST. P
30010	300100	O.S. ANISALUD                                     	OBRA SOCIAL ANILSUD
30020	300209	O.S. AZULEJOS DECORADOS.                          	OBRA SOCIAL AZULEJOS DECORADOS
30030	300308	O.S. BOROQUIMICA S.A.M.I.C.A.F                    	OBRA SOCIAL BOROQUIMICA S.A.M.I.C.A.F.
30040	300407	O.S. LA EMPRESA PRIVADA CELULOSA ARGENTINA S.A.   	OBRA SOCIAL DE LA EMPRESA PRIVADA CELULOSA ARGENTI
30050	300506	O.S. CORPORACION CEMENTERA ARGENTINA              	OBRA SOCIAL CORPORACION CEMENTERA ARGENTINA
30060	300605	O.S.PERS. CERAMICA SAN LORENZO                    	OBRA SOCIAL DEL PERS. DE CERAMICA SAN LORENZO
30070	300704	O.S. CERAS JOHNSON                                	OBRA SOCIAL CERAS JOHNSON
30080	300803	O.S. CALILEGUA S.A.A.I.C.                         	OBRA SOCIAL CALILEGUA S.A.A.I.C.
30100	301004	O.S. DESTILERIA SAN IGNACIO S.A.I.C.              	OBRA SOCIAL DESTILERIAS SAN IGNACIO S.A.I.C.
30110	301103	O.S. DUNLOP ARG. LIMITADA                         	OBRA SOCIAL DUNLOP ARGENTINA LIMITADA
30120	301202	O.S. DUPERIAL ORBEA                               	OBRA SOCIAL DUPERIAL ORBEA
30130	301301	O.S. COMP. EMBOTELLADORA AR.                      	OBRA SOCIAL DEL PERS. DE LA COMPAÑIA EMBOTELLADORA
30140	301400	O.S. ELECTROCLOR S.C.A.                           	OBRA SOCIAL ELECTROCLOR S.C.A.
30150	301509	O.S. MUTUALIDAD EMPL. FIRESTONE                   	OBRA SOCIAL MUTUALIDAD EMPLEADOS FIRESTONE
30160	301608	O.S. AUTOLATINA ARGENTINA S.A.                    	OBRA SOCIAL AUTOLATINA ARGENTINA S.A.
30170	301707	O.S. HIRAM WALKER S.A.                            	OBRA SOCIAL DE  ALLIED DOMECQ ARGENTINA S.A.
30180	301806	O.S. SOC. MINERA HIERRO PATAGONICO                	OBRA SOCIAL SOCIEDAD MINERA HIERROS PATAGONICOS DE
30190	301905	O.S. SERVICIOS ASISTENCIALES DE LA COMPA#IA ITALO 	OBRA SOCIAL DE SERVICIOS ASISTENCIALES COMPAÑIA IT
30200	302007	O.S. INGENIO RIO GRANDE S.A.                      	OBRA SOCIAL INGENIO RIO GRANDE S.A.
30210	302106	O.S.DIRECTIVOS,TECNICOS Y EMPL. JOHN DEERE ARGENT.	OBRA SOCIAL PARA DIRECTIVOS, TECNICOS Y EMPLEADOS 
30220	302205	O.S. LEDESMA S.A.I.                               	OBRA SOCIAL LEDESMA S.A.A.I.
30230	302304	O.S. COMPA#IA MINERA AGUILAR S.A.                 	OBRA SOCIAL COMPANIA MINERA AGUILAR S.A
30240	302403	O.S. MOLINOS RIO DE LA PLATA                      	OBRA SOCIAL MOLINOS RIO DE LA PLATA
30250	302502	O.S. PASA PETROQUIMICA ARGENTINA S.A.             	OBRA SOCIAL PASA PETROQUIMICA ARGENTINA S.A.
30260	302601	O.S.COOP.ASISTENC.MUTUA Y TURISMO PERS.SOC.PIRELLI	OBRA SOCIAL COOPERATIVA DE ASISTENCIA MUTUA Y TURI
30270	302700	O.S. COMP. QUIMICA S.A.                           	OBRA SOCIAL COMPAÑIA QUIMICA S.A.
30280	302809	O.S. REFINERIAS DE MAIZ S.A.I.C.F.                	OBRA SOCIAL REFINERIAS DE MAIZ S.A.I.C.F.
30290	302908	DIR. GRAL. SER.ASIST. SER.ELECT.                  	DIR. GENERAL DE SERV. ASIST. DE SERV. ELECTRICOS D
30300	303000	O.S. SULFACID S.A.I.F.C.                          	OBRA SOCIAL SULFACID S.A.I.F. Y C.
30310	303109	O.S. SUPERCO                                      	OBRA SOCIAL SUPERCO
30320	303208	O.S. EMPRESA PRIVADA WITCEL S.A.I.C.              	OBRA SOCIAL DE EMPRESA PRIVADA WITCEL S.A.
30330	303307	O.S. CABOT ARGENTINA                              	OBRA SOCIAL CABOT ARGENTINA
30340	303406	O.S.PERS. SHELL-CAPSA                             	OBRA SOCIAL DEL PERSONAL SHELL-CAPSA
30360	303604	O.S. IPAKO S. A.                                  	OBRA SOCIAL DE IPAKO S.A.
30370	303703	O.S.PERS. DE PETROQUIMICA BAHIA BLANCA S.A.I.C.   	OBRA SOCIAL DEL PERSONAL DE PBBPOLISUR SA DE BAHIA
30390	303901	O.S.DE FORD ARGENTINA S.A.                        	OBRA SOCIAL DE FORD AGENTINA S.A.
30400	304003	O.S.DE VOLKSWAGEN S.A.                            	OBRA SOCIAL DE VOLKSWAGEN ARGENTINA S.A.
40010	400107	O.S.PERS. DIR. DE EMPRESAS DE LA ALIMENTACION     	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRE
40020	400206	O.S.PERS. DE DIR. IND. AUTOMOTRIZ ARGENTINA       	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST
40030	400305	O.S.COOP.LTDA.AS.MEDICA,FARM. PERS.SUP.CAUCHO Y AF	OBRA SOCIAL COOPERATIVA LTDA.  DE ASISTENCIA MEDIC
40040	400404	O.S.PERS. DE DIR. IND. CERVECERA Y MALTERA        	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST
40050	400503	O.S.ASOC.PERS.DIR. Y JERARQUICO IND. CIGARRILLO   	OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION Y
40060	400602	O.S.PERS. DIRECTIVO IND. DE LA CONSTRUCCION       	OBRA SOCIAL DEL PERSONAL DIRECTIVO DE LA INDUSTRIA
40070	400701	O.S. CAMARA IND. CURTIDORA ARGENTINA              	OBRA SOCIAL CAMARA DE LA INDUSTRIA CURTIDORA ARGEN
40080	400800	O.S. EJECUTIVOS Y PERS. DE DIR. DE EMPRESAS       	OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC
40090	400909	O.S. ACCION SOCIAL DE EMPRESARIOS                 	OBRA SOCIAL ACCION SOCIAL DE EMPRESARIOS
40100	401001	O.S.PERS.DIR.DE EMP.QUE ACTUAN EN FRUTOS DEL PAIS 	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRE
40110	401100	O.S.PERS. DE DIR. ALFREDO FORTABAT                	OBRA SOCIAL DEL PERSONAL DE DIRECCION ALFREDO FORT
40120	401209	O.S. PARA EL PERS. DE DIR. IND. METALURGICA       	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST
40130	401308	O.S. PARA EL PERS. DE DIR. IND. MADERERA          	OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA IN
40140	401407	O.S. PARA EL PERS.  DE DIR. DE LA ACTIVIDAD MINERA	OBRA SOCIAL DEL PERS. DE DIR. DE LA ACT. MINERA
40150	401506	ASOC.PREST.SOC. EMPR.Y PERS.DIR.IND.L,COM.Y SERV. 	ASOC. DE PREST. SOCIALES PARA EMPRESARIOS Y PERS.
40160	401605	O.S.PERS. DE DIR. IND. PRIVADA DEL PETROLEO       	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST
40170	401704	O.S. DIRECTIVOS DE EMP. PORTUARIAS Y MARITIMAS    	OBRA SOCIAL  DE EMPRESARIOS, PROFESIONALES Y MONOT
40180	401803	O.S.ASOC.MUTUAL PERS. PHILIPS ARGENTINA (AMPAR)   	OBRA SOCIAL ASOCIACION MUTUAL DEL PERSONAL DE PHIL
40190	401902	O.S.PERS. DE DIR. DE PERFUMERIA E.W. HOPE         	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE PERFUMERI
40200	402004	O.S.PERS. DE DIR. DE LA SANIDAD LUIS PASTEUR      	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA SANIDA
40210	402103	O.S. ASOC. PERS. DE DIR. IND. SIDERURGICA         	OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION D
40220	402202	O.S. MUTUALIDAD IND.L TEXTIL ARGENTINA            	OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA
40230	402301	O.S.ASOC.PERS.SUPERIOR DE ORGANIZACION TECHINT    	OBRA SOCIAL ASOCIACION DEL PERSONAL SUPERIOR DE LA
40240	402400	O.S.PERS. DE DIR. IND. VITIVINICOLA Y AFINES      	OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA IN
50010	500104	INST. DE SERV. SOC. BANCARIOS.                    	INST. DE SERVICIOS SOCIALES BANCARIOS
50020	500203	INST. DE O.S. PARA EL PERS. DE LOS MINISTERIOS DE 	INST. DE O.S.
50030	500302	INST. DE SERV. SOC. PARA EL PERS. DE LA INDUSTRIA 	INST. DE SERV. SOC. PARA EL PERS.DE LA IND.DE CARN
50040	500401	O.S. PARA EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVI	OBRA SOCIAL PARA EMPLEADOS DE COMERCIO Y ACT.ES CI
