A00;COLERA
F12;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES
F13;TRASTORNOS METALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS
F14;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA
F15;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA
F16;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS
F17;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO
F18;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES
F19;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS
F20;ESQUIZOFRENIA
F21;TRASTORNO ESQUIZOTIPICO
F22;TRASTORNOS DELIRANTES PERSISTENTES
F23;TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS
F24;TRASTORNO DELIRANTE INDUCIDO
F25;TRASTORNOS ESQUIZOAFECTIVOS
F28;OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO
F29;PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA
F30;EPISODIO MANIACO
F31;TRASTORNO AFECTIVO BIPOLAR
F32;EPISODIO DEPRESIVO
F33;TRASTORNO DEPRESIVO RECURRENTE
F34;TRASTORNOS DEL HUMOR (AFECTIVOS) PERSISTENTES
F38;OTROS TRASTORNOS DEL HUMOR (AFECTIVOS)
F39;TRASTORNO DEL HUMOR (AFECTIVO), NO ESPECIFICADO
F40;TRASTORNOS FOBICOS DE ANSIEDAD
F41;OTROS TRASTORNOS DE ANSIEDAD
F42;TRASTORNO OBSESIVO-COMPULSIVO
F43;REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION
F44;TRASTORNOS DISOCIATIVOS (DE CONVERSION)
F45;TRASTORNOS SOMATOMORFOS
F48;OTROS TRASTORNOS NEUROTICOS
F50;TRASTORNOS DE LA INGESTION DE ALIMENTOS
F51;TRASTORNOS NO ORGANICOS DEL SUE¾O
F52;DISFUNCION SEXUAL NO OCASIONADA POR TRASTORNO NI ENFERMEDAD ORGANICOS
F53;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO ASOCIADOS CON EL PUERPERIO,NO CLASIFICADOS EN OTRA PARTE
F54;FACTORES PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON TRASTORNOS O ENFERMEDADES CLASIFICADOS EN OTRA PARTE
F55;ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA
F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICASY FACTORES FISICOS, NO ESPECIFICADOS
F60;TRASTORNOS ESPECIFICOS DE LA PERSONALIDAD
F61;TRASTORNOS MIXTOS Y OTROS TRASTORNOS DE LA PERSONALIDAD
F62;CAMBIOS PERDURABLES DE LA PERSONALIDAD, NO ATRIBUIBLES A LESION O A ENFERMEDAD CEREBRAL
F63;TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS
F64;TRASTORNOS DE LA IDENTIDAD DEL GENERO
F65;TRASTORNOS DE LA PREFERENCIA SEXUAL
F66;TRASTORNOS PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON EL DESARROLLO Y CON LA ORIENTACION SEXUALES
F68;OTROS TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS
F69;TRASTORNO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS, NO ESPECIFICADO
F70;RETRASO MENTAL LEVE
F71;RETRASO MENTAL MODERADO
F72;RETRASO MENTAL GRAVE
F73;RETRASO MENTAL PROFUNDO
F78;OTROS TIPOS DE RETRASO MENTAL
F79;RETRASO MENTAL, NO ESPECIFICADO
F80;TRASTORNOS ESPECIFICOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE
F81;TRASTORNOS ESPECIFICOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES
F82;TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ
F83;TRASTORNOS ESPECIFICOS MIXTOS DEL DESARROLLO
F84;TRASTORNOS GENERALIZADOS DEL DESARROLLO
F88;OTROS TRASTORNOS DEL DESARROLLO PSICOLOGICO
F89;TRASTORNO DEL DESARROLLO PSICOLOGICO, NO ESPECIFICADO
F90;TRASTORNOS HIPERCINETICOS
F91;TRASTORNOS DE LA CONDUCTA
F92;TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES
F93;TRASTORNOS EMOCIONALES DE COMIENZO ESPECIFICO EN LA NI¾EZ
F94;TRASTORNOS DEL COMPORTAMIENTO SOCIAL DE COMIENZO ESPECIFICO EN LA NI¾EZ Y EN LA ADOLESCENCIA
F95;TRASTORNOS POR TICS
F98;OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NI¾EZ Y EN LA ADOLESCENCIA
F99;TRASTORNO MENTAL, NO ESPECIFICADO
G00;MENINGITIS BACTERIANA, NO CLASIFICADA EN OTRA PARTE
G03;MENINGITIS DEBIDA A OTRAS CAUSAS Y A LAS NO ESPECIFICADAS
G04;ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS
G06;ABSCESO Y GRANULOMA INTRACRANEAL E INTRARRAQUIDEO
G08;FLEBITIS Y TROMBOFLEBITIS INTRACRANEAL E INTRARRAQUIDEA
G09;SECUELAS DE ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO CENTRAL
G10;ENFERMEDAD DE HUNTINGTON
G11;ATAXIA HEREDITARIA
G12;ATROFIA MUSCULAR ESPINAL Y SINDROMES AFINES
G20;ENFERMEDAD DE PARKINSON
G21;PARKINSONISMO SECUNDARIO
G23;OTRAS ENFERMEDADES DEGENERATIVAS DE LOS NUCLEOS DE BASE
G24;DISTONIA
G25;OTROS TRASTORNOS EXTRAPIRAMIDALES Y DEL MOVIMIENTO
G30;ENFERMEDAD DE ALZHEIMER
G31;OTRAS ENFERMEDADES DEGENERATIVAS DEL SISTEMA NERVIOSO, NO CLASIFICADAS EN OTRA PARTE
G35;ESCLEROSIS MULTIPLE
G36;OTRAS DESMIELINIZACIONES DISEMINADAS AGUDAS
G37;OTRAS ENFERMEDADES DESMIELINIZANTES DEL SISTEMA NERVIOSO CENTRAL
G40;EPILEPSIA
G41;ESTADO DE MAL EPILEPTICO
G43;MIGRA¾A
G44;OTROS SINDROMES DE CEFALEA
G45;ATAQUES DE ISQUEMIA CEREBRAL TRANSITORIA Y SINDROMES AFINES
G47;TRASTORNOS DEL SUE¾O
G50;TRASTORNOS DEL NERVIO TRIGEMINO
G51;TRASTORNOS DEL NERVIO FACIAL
G52;TRASTORNOS DE OTROS NERVIOS CRANEALES
G54;TRASTORNOS DE LAS RAICES Y DE LOS PLEXOS NERVIOSOS
G56;MONONEUROPATIAS DEL MIEMBRO SUPERIOR
G57;MONONEUROPATIAS DEL MIEMBRO INFERIOR
G58;OTRAS MONONEUROPATIAS
G60;NEUROPATIA HEREDITARIA E IDIOPATICA
G61;POLINEUROPATIA INFLAMATORIA
G62;OTRAS POLINEUROPATIAS
G64;OTROS TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO
G70;MIASTENIA GRAVIS Y OTROS TRASTORNOS NEUROMUSCULARES
G71;TRASTORNOS MUSCULARES PRIMARIOS
G72;OTRAS MIOPATIAS
G80;PARALISIS CEREBRAL INFANTIL
G81;HEMIPLEJIA
G82;PARAPLEJIA Y CUADRIPLEJIA
G83;OTROS SINDROMES PARALITICOS
G90;TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO
G91;HIDROCEFALO
G92;ENCEFALOPATIA TOXICA
G93;OTROS TRASTORNOS DEL ENCEFALO
G95;OTRAS ENFERMEDADES DE LA MEDULA ESPINAL
G96;OTROS TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL
G97;TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
G98;OTROS TRASTORNOS DEL SISTEMA NERVIOSO, NO CLASIFICADOS EN OTRA PARTE
H00;ORZUELO Y CALACIO
H01;OTRAS INFLAMACIONES DEL PARPADO
H02;OTROS TRASTORNOS DE LOS PARPADOS
H04;TRASTORNOS DEL APARATO LAGRIMAL
H05;TRASTORNOS DE LA ORBITA
H10;CONJUNTIVITIS
H11;OTROS TRASTORNOS DE LA CONJUNTIVA
H15;TRASTORNOS DE LA ESCLEROTICA
H16;QUERATITIS
H17;OPACIDADES Y CICATRICES CORNEALES
H18;OTROS TRASTORNOS DE LA CORNEA
H20;IRIDOCICLITIS
H21;OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR
H25;CATARATA SENIL
H26;OTRAS CATARATAS
H27;OTROS TRASTORNOS DEL CRISTALINO
H30;INFLAMACION CORIORRETINIANA
H31;OTROS TRASTORNOS DE LA COROIDES
H33;DESPRENDIMIENTO Y DESGARRO DE LA RETINA
H34;OCLUSION VASCULAR DE LA RETINA
H35;OTROS TRASTORNOS DE LA RETINA
H40;GLAUCOMA
H43;TRASTORNOS DEL CUERPO VITREO
H44;TRASTORNOS DEL GLOBO OCULAR
H46;NEURITIS OPTICA
H47;OTROS TRASTORNOS DEL NERVIO OPTICO (II PAR) Y DE LAS VIAS OPTICAS
H49;ESTRABISMO PARALITICO
H50;OTROS ESTRABISMOS
H51;OTROS TRASTORNOS DE LOS MOVIMIENTOS BINOCULARES
H52;TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION
H53;ALTERACIONES DE LA VISION
H54;CEGUERA Y DISMINUCION DE LA AGUDEZA VISUAL
H55;NISTAGMO Y OTROS MOVIMIENTOS OCULARES IRREGULARES
H57;OTROS TRASTORNOS DEL OJO Y DE SUS ANEXOS
H59;TRASTORNOS DEL OJO Y DE SUS ANEXOS CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
H60;OTITIS EXTERNA
H61;OTROS TRASTORNOS DEL OIDO EXTERNO
H65;OTITIS MEDIA NO SUPURATIVA
H66;OTITIS MEDIA SUPURATIVA Y LA NO ESPECIFICADA
H68;INFLAMACION Y OBSTRUCCION DE LA TROMPA DE EUSTAQUIO
H69;OTROS TRASTORNOS DE LA TROMPA DE EUSTAQUIO
H70;MASTOIDITIS Y AFECCIONES RELACIONADAS
H71;COLESTEATOMA DEL OIDO MEDIO
H72;PERFORACION DE LA MEMBRANA TIMPANICA
H73;OTROS TRASTORNOS DE LA MEMBRANA TIMPANICA
H74;OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES
H80;OTOSCLEROSIS
H81;TRASTORNOS DE LA FUNCION VESTIBULAR
H83;OTROS TRASTORNOS DEL OIDO INTERNO
H90;HIPOACUSIA CONDUCTIVA Y NEUROSENSORIAL
H91;OTRAS HIPOACUSIAS
H92;OTALGIA Y SECRECION DEL OIDO
H93;OTROS TRASTORNOS DEL OIDO, NO CLASIFICADOS EN OTRA PARTE
H95;TRASTORNOS DEL OIDO Y DE LA APOFISIS MASTOIDES CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
I00;FIEBRE REUMATICA SIN MENCION DE COMPLICACION CARDIACA
I01;FIEBRE REUMATICA CON COMPLICACION CARDIACA
I02;COREA REUMATICA
I05;ENFERMEDADES REUMATICAS DE LA VALVULA MITRAL
I06;ENFERMEDADES REUMATICAS DE LA VALVULA AORTICA
I07;ENFERMEDADES REUMATICAS DE LA VALVULA TRICUSPIDE
I08;ENFERMEDADES VALVULARES MULTIPLES
I09;OTRAS ENFERMEDADES REUMATICAS DEL CORAZON
I10;HIPERTENSION ESENCIAL (PRIMARIA)
I11;ENFERMEDAD CARDIACA HIPERTENSIVA
I12;ENFERMEDAD RENAL HIPERTENSIVA
I13;ENFERMEDAD CARDIORRENAL HIPERTENSIVA
I15;HIPERTENSION SECUNDARIA
I20;ANGINA DE PECHO
I21;INFARTO AGUDO DEL MIOCARDIO
I22;INFARTO SUBSECUENTE DEL MIOCARDIO
I23;CIERTAS COMPLICACIONES PRESENTES POSTERIORES AL INFARTO AGUDO DEL MIOCARDIO
I24;OTRAS ENFERMEDADES ISQUEMICAS AGUDAS DEL CORAZON
I25;ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON
I26;EMBOLIA PULMONAR
I27;OTRAS ENFERMEDADES CARDIOPULMONARES
I28;OTRAS ENFERMEDADES DE LOS VASOS PULMONARES
I30;PERICARDITIS AGUDA
I31;OTRAS ENFERMEDADES DEL PERICARDIO
I33;ENDOCARDITIS AGUDA Y SUBAGUDA
I34;TRASTORNOS NO REUMATICOS DE LA VALVULA MITRAL
I35;TRASTORNOS NO REUMATICOS DE LA VALVULA AORTICA
I36;TRASTORNOS NO REUMATICOS DE LA VALVULA TRICUSPIDE
I37;TRASTORNOS DE LA VALVULA PULMONAR
I38;ENDOCARDITIS, VALVULA NO ESPECIFICADA
I40;MIOCARDITIS AGUDA
I42;CARDIOMIOPATIA
I44;BLOQUEO AURICULOVENTRICULAR Y DE RAMA IZQUIERDA DEL HAZ
I45;OTROS TRASTORNOS DE LA CONDUCCION
I46;PARO CARDIACO
I47;TAQUICARDIA PAROXISTICA
I48;FIBRILACION Y ALETEO AURICULAR
I49;OTRAS ARRITMIAS CARDIACAS
I50;INSUFICIENCIA CARDIACA
I51;COMPLICACIONES Y DESCRIPCIONES MAL DEFINIDAS DE ENFERMEDAD CARDIACA
I60;HEMORRAGIA SUBARACNOIDEA
I61;HEMORRAGIA INTRAENCEFALICA
I62;OTRAS HEMORRAGIAS INTRACRANEALES NO TRAUMATICAS
I63;INFARTO CEREBRAL
I64;ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO NI COMO ISQUEMICO
I65;OCLUSION Y ESTENOSIS DE LAS ARTERIAS PRECEREBRALES SIN OCASIONAR INFARTO CEREBRAL
I66;OCLUSION Y ESTENOSIS DE LAS ARTERIAS CEREBRALES SIN OCASIONAR INFARTO CEREBRAL
I67;OTRAS ENFERMEDADES CEREBROVASCULARES
I69;SECUELAS DE ENFERMEDAD CEREBROVASCULAR
I70;ATEROSCLEROSIS
I71;ANEURISMA Y DISECCION AORTICOS
I72;OTROS ANEURISMAS
I73;OTRAS ENFERMEDADES VASCULARES PERIFERICAS
I74;EMBOLIA Y TROMBOSIS ARTERIALES
I77;OTROS TRASTORNOS ARTERIALES O ARTERIOLARES
I78;ENFERMEDADES DE LOS VASOS CAPILARES
I80;FLEBITIS Y TROMBOFLEBITIS
I81;TROMBOSIS DE LA VENA PORTA
I82;OTRAS EMBOLIAS Y TROMBOSIS VENOSAS
I83;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES
I84;HEMORROIDES
I85;VARICES ESOFAGICAS
I86;VARICES DE OTROS SITIOS
I87;OTROS TRASTORNOS DE LAS VENAS
I88;LINFADENITIS INESPECIFICA
I89;OTROS TRASTORNOS NO INFECCIOSOS DE LOS VASOS Y GANGLIOS LINFATICOS
I95;HIPOTENSION
I97;TRASTORNOS DEL SISTEMA CIRCULATORIO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
I99;OTROS TRASTORNOS DEL SISTEMA CIRCULATORIO
J00;RINOFARINGITIS AGUDA (RESFRIADO COMUN)
J01;SINUSITIS AGUDA
J02;FARINGITIS AGUDA
J03;AMIGDALITIS AGUDA
J04;LARINGITIS Y TRAQUEITIS AGUDAS
J05;LARINGITIS OBSTRUCTIVA AGUDA (CRUP) Y EPIGLOTITIS
J06;INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES, DE SITIOS MULTIPLES O NO ESPECIFICADOS
J09;GRIPE A
J10;INFLUENZA DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J11;INFLUENZA DEBIDA A VIRUS NO IDENTIFICADO
J12;NEUMONIA VIRAL, NO CLASIFICADA EN OTRA PARTE
J13;NEUMONIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
J14;NEUMONIA DEBIDA A HAEMOPHILUS INFLUENZAE
J15;NEUMONIA BACTERIANA, NO CLASIFICADA EN OTRA PARTE
J16;NEUMONIA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS, NO CLASIFICADOS EN OTRA PARTE
J18;NEUMONIA, ORGANISMO NO ESPECIFICADO
J20;BRONQUITIS AGUDA
J21;BRONQUIOLITIS AGUDA
J22;INFECCION AGUDA NO ESPECIFICADA DE LAS VIAS RESPIRATORIAS INFERIORES
J30;RINITIS ALERGICA Y VASOMOTORA
J31;RINITIS, RINOFARINGITIS Y FARINGITIS CRONICAS
J32;SINUSITIS CRONICA
J33;POLIPO NASAL
J34;OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES
J35;ENFERMEDADES CRONICAS DE LAS AMIGDALAS Y DE LAS ADENOIDES
J36;ABSCESO PERIAMIGDALINO
J37;LARINGITIS Y LARINGOTRAQUEITIS CRONICAS
J38;ENFERMEDADES DE LAS CUERDAS VOCALES Y DE LA FARINGE, NO CLASIFICADASEN OTRA PARTE
J39;OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES
J40;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRONICA
J41;BRONQUITIS CRONICA SIMPLE Y MUCOPURULENTA
J42;BRONQUITIS CRONICA NO ESPECIFICADA
J43;ENFISEMA
J44;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS
J45;ASMA
J46;ESTADO ASMATICO
J47;BRONQUIECTASIA
J60;NEUMOCONIOSIS DE LOS MINEROS DEL CARBON
J61;NEUMOCONIOSIS DEBIDA AL ASBESTO Y A OTRAS FIBRAS MINERALES
J62;NEUMOCONIOSIS DEBIDA A POLVO DE SILICE
J63;NEUMOCONIOSIS DEBIDA A OTROS POLVOS INORGANICOS
J64;NEUMOCONIOSIS, NO ESPECIFICADA
J65;NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS
J66;ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS
J67;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO
J68;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES, HUMOS, VAPORES Y SUSTANCIAS QUIMICAS
J69;NEUMONITIS DEBIDA A SOLIDOS Y LIQUIDOS
J70;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS
J80;SINDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO
J81;EDEMA PULMONAR
J82;EOSINOFILIA PULMONAR, NO CLASIFICADA EN OTRA PARTE
J84;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES
J85;ABSCESO DEL PULMON Y DEL MEDIASTINO
J86;PIOTORAX
J90;DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE
J92;PAQUIPLEURITIS
J93;NEUMOTORAX
J94;OTRAS AFECCIONES DE LA PLEURA
J95;TRASTORNOS DEL SISTEMA RESPIRATORIO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
J96;INSUFICIENCIA RESPIRATORIA, NO CLASIFICADA EN OTRA PARTE
J98;OTROS TRASTORNOS RESPIRATORIOS
K00;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES
K01;DIENTES INCLUIDOS E IMPACTADOS
K02;CARIES DENTAL
K03;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES
K04;ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES
K05;GINGIVITIS Y ENFERMEDADES PERIODONTALES
K06;OTROS TRASTORNOS DE LA ENCIA Y DE LA ZONA EDENTULA
K07;ANOMALIAS DENTOFACIALES
K08;OTROS TRASTORNOS DE LOS DIENTES Y DE SUS ESTRUCTURAS DE SOSTEN
K09;QUISTES DE LA REGION BUCAL, NO CLASIFICADOS EN OTRA PARTE
K10;OTRAS ENFERMEDADES DE LOS MAXILARES
K11;ENFERMEDADES DE LAS GLANDULAS SALIVALES
K12;ESTOMATITIS Y LESIONES AFINES
K13;OTRAS ENFERMEDADES DE LOS LABIOS Y DE LA MUCOSA BUCAL
K14;ENFERMEDADES DE LA LENGUA
K20;ESOFAGITIS
K21;ENFERMEDAD DEL REFLUJO GASTROESOFAGICO
K22;OTRAS ENFERMEDADES DEL ESOFAGO
K25;ULCERA GASTRICA
K26;ULCERA DUODENAL
K27;ULCERA PEPTICA, DE SITIO NO ESPECIFICADO
K28;ULCERA GASTROYEYUNAL
K29;GASTRITIS Y DUODENITIS
K30;DISPEPSIA
K31;OTRAS ENFERMEDADES DEL ESTOMAGO Y DEL DUODENO
K35;APENDICITIS AGUDA
K36;OTROS TIPOS DE APENDICITIS
K37;APENDICITIS, NO ESPECIFICADA
K38;OTRAS ENFERMEDADES DEL APENDICE
K40;HERNIA INGUINAL
K41;HERNIA FEMORAL
K42;HERNIA UMBILICAL
K43;HERNIA VENTRAL
K44;HERNIA DIAFRAGMATICA
K45;OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL
K46;HERNIA NO ESPECIFICADA DE LA CAVIDAD ABDOMINAL
K50;ENFERMEDAD DE CROHN (ENTERITIS REGIONAL)
K51;COLITIS ULCERATIVA
K52;OTRAS COLITIS Y GASTROENTERITIS NO INFECCIOSAS
K55;TRASTORNOS VASCULARES DE LOS INTESTINOS
K56;ILEO PARALITICO Y OBSTRUCCION INTESTINAL SIN HERNIA
K57;ENFERMEDAD DIVERTICULAR DEL INTESTINO
K58;SINDROME DEL COLON IRRITABLE
K59;OTROS TRASTORNOS FUNCIONALES DEL INTESTINO
K60;FISURA Y FISTULA DE LAS REGIONES ANAL Y RECTAL
K61;ABSCESO DE LAS REGIONES ANAL Y RECTAL
K62;OTRAS ENFERMEDADES DEL ANO Y DEL RECTO
K63;OTRAS ENFERMEDADES DE LOS INTESTINOS
K65;PERITONITIS
K66;OTROS TRASTORNOS DEL PERITONEO
K70;ENFERMEDAD ALCOHOLICA DEL HIGADO
K71;ENFERMEDAD TOXICA DEL HIGADO
K72;INSUFICIENCIA HEPATICA, NO CLASIFICADA EN OTRA PARTE
K73;HEPATITIS CRONICA, NO CLASIFICADA EN OTRA PARTE
K74;FIBROSIS Y CIRROSIS DEL HIGADO
K75;OTRAS ENFERMEDADES INFLAMATORIAS DEL HIGADO
K76;OTRAS ENFERMEDADES DEL HIGADO
K80;COLELITIASIS
K81;COLECISTITIS
K82;OTRAS ENFERMEDADES DE LA VESICULA BILIAR
K83;OTRAS ENFERMEDADES DE LAS VIAS BILIARES
K85;PANCREATITIS AGUDA
K86;OTRAS ENFERMEDADES DEL PANCREAS
K90;MALABSORCION INTESTINAL
K91;TRASTORNOS DEL SISTEMA DIGESTIVO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
K92;OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO
L00;SINDROME ESTAFILOCOCICO DE LA PIEL ESCALDADA
L01;IMPETIGO
L02;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO
L03;CELULITIS
L04;LINFADENITIS AGUDA
L05;QUISTE PILONIDAL
L08;OTRAS INFECCIONES LOCALES DE LA PIEL Y DEL TEJIDO SUBCUTANEO
L10;PENFIGO
L11;OTROS TRASTORNOS ACANTOLITICOS
L12;PENFIGOIDE
L13;OTROS TRASTORNOS FLICTENULARES
L20;DERMATITIS ATOPICA
L21;DERMATITIS SEBORREICA
L22;DERMATITIS DEL PA¾AL
L23;DERMATITIS ALERGICA DE CONTACTO
L24;DERMATITIS DE CONTACTO POR IRRITANTES
L25;DERMATITIS DE CONTACTO, FORMA NO ESPECIFICADA
L26;DERMATITIS EXFOLIATIVA
L27;DERMATITIS DEBIDA A SUSTANCIAS INGERIDAS
L28;LIQUEN SIMPLE CRONICO Y PRURIGO
L29;PRURITO
L30;OTRAS DERMATITIS
L40;PSORIASIS
L41;PARAPSORIASIS
L42;PITIRIASIS ROSADA
L43;LIQUEN PLANO
L44;OTROS TRASTORNOS PAPULOESCAMOSOS
L50;URTICARIA
L51;ERITEMA MULTIFORME
L52;ERITEMA NUDOSO
L53;OTRAS AFECCIONES ERITEMATOSAS
L55;QUEMADURA SOLAR
L56;OTROS CAMBIOS AGUDOS DE LA PIEL DEBIDOS A RADIACION ULTRAVIOLETA
L57;CAMBIOS DE LA PIEL DEBIDOS A EXPOSICION CRONICA A RADIACION NO IONIZANTE
L58;RADIODERMATITIS
L59;OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO RELACIONADOS CON RADIACION
L60;TRASTORNOS DE LAS U¾AS
L63;ALOPECIA AREATA
L64;ALOPECIA ANDROGENA
L65;OTRA PERDIDA NO CICATRICIAL DEL PELO
L66;ALOPECIA CICATRICIAL (PERDIDA CICATRICIAL DEL PELO)
L67;ANORMALIDADES DEL TALLO Y DEL COLOR DEL PELO
L68;HIPERTRICOSIS
L70;ACNE
L71;ROSACEA
L72;QUISTE FOLICULAR DE LA PIEL Y DEL TEJIDO SUBCUTANEO
L73;OTROS TRASTORNOS FOLICULARES
L74;TRASTORNOS SUDORIPAROS ECRINOS
L75;TRASTORNOS SUDORIPAROS APOCRINOS
L80;VITILIGO
L81;OTROS TRASTORNOS DE LA PIGMENTACION
L82;QUERATOSIS SEBORREICA
L83;ACANTOSIS NIGRICANS
L84;CALLOS Y CALLOSIDADES
L85;OTROS TIPOS DE ENGROSAMIENTO EPIDERMICO
L87;TRASTORNOS DE LA ELIMINACION TRANSEPIDERMICA
L88;PIODERMA GANGRENOSO
L89;ULCERA DE DECUBITO
L90;TRASTORNOS ATROFICOS DE LA PIEL
L91;TRASTORNOS HIPERTROFICOS DE LA PIEL
L92;TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO
L93;LUPUS ERITEMATOSO
L94;OTROS TRASTORNOS LOCALIZADOS DEL TEJIDO CONJUNTIVO
L95;VASCULITIS LIMITADA A LA PIEL, NO CLASIFICADA EN OTRA PARTE
L97;ULCERA DE MIEMBRO INFERIOR, NO CLASIFICADA EN OTRA PARTE
L98;OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO, NO CLASIFICADOS EN OTRA PARTE
M00;ARTRITIS PIOGENA
M02;ARTROPATIAS REACTIVAS
M05;ARTRITIS REUMATOIDE SEROPOSITIVA
M06;OTRAS ARTRITIS REUMATOIDES
M08;ARTRITIS JUVENIL
M10;GOTA
M11;OTRAS ARTROPATIAS POR CRISTALES
M12;OTRAS ARTROPATIAS ESPECIFICAS
M13;OTRAS ARTRITIS
M15;POLIARTROSIS
M16;COXARTROSIS (ARTROSIS DE LA CADERA)
M17;GONARTROSIS (ARTROSIS DE LA RODILLA)
M18;ARTROSIS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA
M19;OTRAS ARTROSIS
M20;DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DE LA MANO Y DEL PIE
M21;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS
M22;TRASTORNOS DE LA ROTULA
M23;TRASTORNO INTERNO DE LA RODILLA
M24;OTROS TRASTORNOS ARTICULARES ESPECIFICOS
